Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Fwd IAT Mean,Fwd IAT Std,Bwd IAT Mean,Bwd IAT Std,Fwd Packets/s,Bwd Packets/s,Packet Length Mean,Packet Length Std,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Active Mean,Idle Mean
1,5849161.000,7,7,420,420,60.000,0.000,60.000,0.000,143.610,2.394,772502.214,426006.559,993193.600,345158.908,974843.833,389753.745,1.197,1.197,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,7,420,6,360,0.000,1.000
1,86.000,1,1,60,60,60.000,0.000,60.000,0.000,1395348.837,23255.814,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11627.907,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,60,0,0,0.000,1.000
1,8561860.000,10,10,5160,5160,516.000,0.000,516.000,0.000,1205.346,2.336,818393.650,217398.803,1002030.625,7661.341,927958.667,217349.630,1.169,1.168,516.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,10,5160,10,5160,0.000,1.000
1,75.000,1,1,60,60,60.000,0.000,60.000,0.000,1600000.000,26666.667,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13333.333,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,60,0,0,0.000,1.000
1,29472830.000,30,29,1800,1740,60.000,0.000,60.000,0.000,120.111,2.002,982376.831,524927.177,1017411.179,393971.573,1052597.143,624279.733,1.018,0.984,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,30,1800,28,1680,0.000,1.000
1,28959341.000,30,30,1800,1800,60.000,0.000,60.000,0.000,124.312,2.072,945522.317,464309.011,992614.571,368265.054,997866.586,536570.652,1.038,1.036,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,30,1800,29,1740,0.000,1.000
1,27939093.000,15,15,900,900,60.000,0.000,60.000,0.000,64.426,1.074,1800632.600,574880.858,2006156.769,102259.145,1995638.571,741895.781,0.537,0.537,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,15,900,14,840,0.000,1.000
1,19097157.000,20,20,2080,2080,104.000,0.000,104.000,0.000,217.833,2.095,929902.475,559202.690,1005502.222,410079.259,1005108.368,662247.951,1.047,1.047,104.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,20,2080,19,1976,0.000,1.000
1,28675419.000,30,30,1800,1800,60.000,0.000,60.000,0.000,125.543,2.092,944848.617,472578.107,1007749.607,397044.630,981859.586,530622.993,1.050,1.046,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,30,1800,30,1800,0.000,1.000
1,40.000,1,1,60,60,60.000,0.000,60.000,0.000,3000000.000,50000.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,25000.000,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,60,0,0,0.000,1.000
1,29283833.000,30,30,1800,1800,60.000,0.000,60.000,0.000,122.935,2.049,957023.317,413346.409,1007166.714,280187.665,1007611.414,505008.989,1.025,1.024,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,30,1800,30,1800,0.000,1.000
1,4029858.000,5,5,300,300,60.000,0.000,60.000,0.000,148.889,2.481,696110.000,302522.600,977111.333,21909.265,1007441.500,60425.482,1.252,1.241,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,5,300,4,240,0.000,1.000
1,6154701.000,7,7,420,420,60.000,0.000,60.000,0.000,136.481,2.275,814536.071,318578.101,1059640.400,103606.407,1017550.500,292993.408,1.140,1.137,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,7,420,7,420,0.000,1.000
1,482.000,1,1,60,60,60.000,0.000,60.000,0.000,248962.656,4149.378,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2074.689,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,60,0,0,0.000,1.000
1,28446378.000,30,30,1800,1800,60.000,0.000,60.000,0.000,126.554,2.109,943798.650,250925.893,1007207.679,152995.437,980210.483,309754.929,1.063,1.055,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,30,1800,30,1800,0.000,1.000
1,28059945.000,15,15,900,900,60.000,0.000,60.000,0.000,64.148,1.069,1800928.600,261259.824,1997541.462,42608.407,2004272.786,229581.848,0.535,0.535,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,15,900,14,840,0.000,1.000
1,9625221.000,10,10,600,600,60.000,0.000,60.000,0.000,124.672,2.078,919442.100,302639.030,1095462.250,240115.226,1069460.444,267785.081,1.046,1.039,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,10,600,9,540,0.000,1.000
1,52.000,1,1,60,60,60.000,0.000,60.000,0.000,2307692.308,38461.538,0.000,0.000,0.000,0.000,0.000,0.000,0.000,19230.769,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,60,0,0,0.000,1.000
1,19015964.000,20,20,2080,2080,104.000,0.000,104.000,0.000,218.764,2.103,921650.875,222435.254,1005998.611,199190.295,987266.316,218441.774,1.052,1.052,104.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,20,2080,20,2080,0.000,1.000
1,27626283.000,15,15,900,900,60.000,0.000,60.000,0.000,65.155,1.086,1786725.567,412338.426,2001295.077,367107.459,1970352.214,355372.486,0.543,0.543,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,15,900,15,900,0.000,1.000
1,8945052.000,10,10,600,600,60.000,0.000,60.000,0.000,134.152,2.236,848593.400,375574.541,1003367.250,361394.194,993881.111,328547.929,1.118,1.118,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,10,600,9,540,0.000,1.000
1,3956.000,1,1,60,60,60.000,0.000,60.000,0.000,30333.670,505.561,0.000,0.000,0.000,0.000,0.000,0.000,0.000,252.781,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,60,0,0,-0.000,1.000
1,8623553.000,10,10,5160,5160,516.000,0.000,516.000,0.000,1196.723,2.319,831309.100,202974.361,1000344.375,95215.075,958158.556,168142.901,1.168,1.160,516.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,10,5160,9,4644,0.000,1.000
1,61.000,1,1,60,60,60.000,0.000,60.000,0.000,1967213.115,32786.885,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16393.443,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,60,0,0,0.000,1.000
1,28329791.000,15,15,900,900,60.000,0.000,60.000,0.000,63.537,1.059,1819881.767,329486.169,2020525.000,195599.316,2023544.857,308189.541,0.530,0.529,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,15,900,14,840,0.000,1.000
1,86181.000,1,1,60,60,60.000,0.000,60.000,0.000,1392.418,23.207,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.603,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,60,1,60,0.000,1.000
1,62.000,1,1,60,60,60.000,0.000,60.000,0.000,1935483.871,32258.065,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16129.032,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,60,0,0,0.000,1.000
1,27907987.000,15,15,900,900,60.000,0.000,60.000,0.000,64.498,1.075,1805098.667,350808.132,2022539.308,239358.215,1989996.357,325655.921,0.538,0.537,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,15,900,15,900,0.000,1.000
1,34305994.000,30,30,7240,7240,241.333,190.841,241.333,194.219,422.084,1.749,1126245.133,974648.816,1188216.000,972711.296,1182919.310,972966.255,0.875,0.874,241.000,194.219,0,0,0,0,0,0,0.000,0.000,0.000,0.000,29,7136,28,6620,0.000,1.000
1,126679.000,1,1,60,60,60.000,0.000,60.000,0.000,947.276,15.788,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.894,60.000,0.000,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,60,1,60,0.000,1.000
