Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Fwd IAT Mean,Fwd IAT Std,Bwd IAT Mean,Bwd IAT Std,Fwd Packets/s,Bwd Packets/s,Packet Length Mean,Packet Length Std,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Active Mean,Idle Mean
6,5112174.000,8,7,278,3864,34.000,97.447,552.000,601.070,810.223,2.934,675666.733,1867249.633,851326.000,1875443.443,837840.833,1843582.832,1.565,1.392,276.000,489.589,1,2,0,3,14,0,0.000,0.000,1448.000,2.000,6,0,5,3864,0.000,1.000
6,16122131.000,20,13,519,293,25.000,83.178,22.000,36.634,50.366,2.047,977083.030,1375462.498,895662.278,1303579.526,1343484.917,1427084.087,1.241,0.806,24.000,67.331,3,2,3,14,29,0,0.000,0.000,0.000,0.000,20,519,13,293,0.000,1.000
6,5092759.000,8,7,278,3380,34.000,97.447,482.000,631.960,718.275,2.945,674574.733,1863201.694,848762.833,1867930.131,837674.000,1843077.662,1.571,1.393,243.000,490.775,2,2,0,3,14,0,0.000,0.000,1448.000,2.000,7,278,6,3380,0.000,1.000
6,5133327.000,7,6,278,3380,39.000,103.864,563.000,648.537,712.598,2.532,785285.462,2033545.072,1026239.000,2030531.725,1015503.200,2009102.590,1.364,1.181,281.000,517.066,1,2,0,3,12,0,0.000,0.000,1448.000,2.000,6,278,4,3380,0.000,1.000
6,3584786.000,29,36,2368,8376,81.000,233.974,232.000,429.377,2997.111,18.132,106913.031,231581.615,124624.630,236439.110,102413.771,227187.216,8.618,10.042,165.000,362.529,0,2,0,38,64,0,1288.000,1.000,1368.000,4.000,28,2368,35,8376,0.000,1.000
6,6248572.000,39,43,2576,7432,66.000,203.512,172.000,317.630,1601.646,13.123,149976.244,357544.342,163507.378,365005.267,148768.548,350608.167,6.446,6.882,122.000,273.853,2,2,0,45,81,0,1288.000,1.000,1292.000,2.000,36,2552,41,7432,0.000,1.000
6,7314692.000,40,48,2752,7288,68.000,200.609,151.000,323.096,1372.580,12.031,164489.977,438542.128,188437.000,445612.003,155627.915,432114.715,5.586,6.562,114.000,276.654,0,2,0,49,87,0,1288.000,1.000,1296.000,3.000,39,2752,47,7288,0.000,1.000
6,4629812.000,39,41,2512,7048,64.000,203.738,171.000,360.268,2064.879,17.279,113783.712,219782.915,120956.162,212479.318,115682.975,226215.884,8.714,8.856,119.000,298.619,2,2,0,40,79,0,1288.000,1.000,1344.000,3.000,36,2512,39,7048,0.000,1.000
6,5128350.000,9,8,278,3864,30.000,92.062,483.000,591.144,807.667,3.315,598599.588,1733330.423,727341.000,1737309.173,726400.857,1719801.742,1.755,1.573,243.000,468.416,2,2,0,4,16,0,0.000,0.000,1448.000,2.000,9,278,7,3864,0.000,1.000
6,5309807.000,7,6,278,3380,39.000,103.864,563.000,648.537,688.914,2.448,810105.462,2075877.157,1061907.800,2079050.414,1044366.400,2043966.416,1.318,1.149,281.000,517.066,1,2,0,3,12,0,0.000,0.000,1448.000,2.000,6,278,5,3380,0.000,1.000
6,15170735.000,21,16,621,331,29.000,97.360,20.000,34.142,62.752,2.439,820016.216,1212961.344,798442.368,1147249.290,1011346.333,1276922.562,1.384,1.055,25.000,75.300,2,2,3,16,33,0,0.000,0.000,0.000,0.000,17,569,13,192,0.000,1.000
6,11133290.000,22,17,1288,368,58.000,166.702,21.000,33.344,148.743,3.503,570923.923,871998.729,556647.750,825038.680,695817.375,918773.557,1.976,1.527,42.000,125.973,2,2,3,17,35,0,0.000,0.000,0.000,0.000,21,1288,16,368,0.000,1.000
6,5112908.000,8,7,278,3380,34.000,97.447,482.000,631.960,715.444,2.934,678785.800,1884946.955,852123.000,1885516.421,844841.500,1869025.840,1.565,1.381,243.000,490.775,2,2,0,3,14,0,0.000,0.000,1448.000,2.000,7,278,5,3380,0.000,1.000
6,5154085.000,8,7,278,3380,34.000,97.447,482.000,631.960,709.728,2.910,682237.333,1837103.015,858942.333,1852505.779,846651.000,1805508.460,1.552,1.378,243.000,490.775,2,2,0,3,14,0,0.000,0.000,1448.000,2.000,7,278,6,3380,0.000,1.000
6,11171580.000,22,17,794,307,36.000,123.300,18.000,33.165,98.554,3.491,572880.538,968618.541,558561.450,904529.611,698194.500,1035529.851,1.969,1.522,28.000,93.696,2,2,3,17,35,0,0.000,0.000,0.000,0.000,21,794,16,307,0.000,1.000
6,748995.000,21,21,1808,4552,86.000,276.818,216.000,393.525,8491.378,56.075,35118.452,48554.057,38214.105,55701.679,37445.350,40435.833,28.897,28.038,151.000,344.042,2,2,0,20,41,0,1288.000,1.000,1292.000,2.000,19,1784,19,4552,0.000,1.000
6,10262003.000,20,14,915,307,45.000,176.199,21.000,35.379,119.080,3.313,602953.441,794606.358,570056.056,738236.389,787646.769,845830.151,1.949,1.367,35.000,134.395,2,2,3,15,30,0,0.000,0.000,0.000,0.000,19,915,13,307,0.000,1.000
6,5201926.000,11,9,278,3864,25.000,83.447,429.000,577.637,796.244,3.845,512424.950,1513738.728,577890.222,1494733.043,630935.875,1528680.479,2.115,1.783,207.000,440.534,3,2,1,3,18,0,0.000,0.000,1448.000,2.000,9,0,7,3864,0.000,1.000
6,11301174.000,19,13,356,432,18.000,48.054,33.000,47.242,69.727,2.832,704365.875,1016977.093,662176.824,933548.532,940225.167,1098464.738,1.681,1.150,24.000,47.607,2,2,2,15,29,0,0.000,0.000,0.000,0.000,18,306,13,432,0.000,1.000
6,11266467.000,21,16,982,446,46.000,176.792,27.000,44.119,126.748,3.284,607993.514,1022996.744,591027.526,944583.992,751082.467,1105037.986,1.864,1.420,38.000,133.720,2,2,2,17,34,0,0.000,0.000,0.000,0.000,20,931,15,446,0.000,1.000
