Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Fwd IAT Mean,Fwd IAT Std,Bwd IAT Mean,Bwd IAT Std,Fwd Packets/s,Bwd Packets/s,Packet Length Mean,Packet Length Std,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Active Mean,Idle Mean
300555.000,21,19,3676,4120,175.000,391.838,216.000,404.688,25938.680,133.087,14995.175,22052.915,15781.000,20184.945,16664.889,23794.403,69.871,63.268,194.000,394.667,0,2,0,22,39,0,1328.000,2.000,1292.000,2.000,21,3676,19,4120,0.000,1.000
6016266.000,17,10,546,331,32.000,109.926,33.000,47.482,145.771,4.488,445600.185,493445.370,401034.933,479927.470,668409.000,460938.598,2.826,1.662,32.000,89.633,2,2,2,13,24,0,0.000,0.000,0.000,0.000,17,546,10,331,0.000,1.000
5330.000,3,4,124,96,41.000,41.000,24.000,25.456,41275.797,1313.321,1138.143,2079.853,3622.000,0.000,1448.333,1901.312,596.540,750.469,31.000,43.686,2,0,0,3,7,0,0.000,0.000,0.000,0.000,3,124,4,96,0.002,0.998
304351.000,21,19,3676,4120,175.000,391.838,216.000,404.688,25615.161,131.427,15158.300,21102.053,15962.737,20452.715,16835.556,21685.999,68.999,62.541,194.000,394.667,0,2,0,22,39,0,1328.000,2.000,1292.000,2.000,21,3676,19,4120,0.000,1.000
5569.000,3,4,124,96,41.000,41.000,24.000,25.456,39504.399,1256.958,1238.571,2195.614,3926.000,0.000,1581.333,1975.530,569.801,718.262,31.000,43.686,2,0,0,3,7,0,0.000,0.000,0.000,0.000,3,124,4,96,0.003,0.997
3358.000,8,6,278,3380,34.000,97.447,563.000,648.537,1089338.892,4169.148,459.429,643.776,535.833,691.226,643.400,545.510,2382.370,1819.284,261.000,503.500,2,2,0,2,13,0,0.000,0.000,1448.000,2.000,8,278,6,3380,0.004,0.996
321935.000,21,19,3676,4120,175.000,391.838,216.000,404.688,24216.068,124.249,16067.975,23244.777,16922.053,20582.071,17844.444,25682.194,65.231,59.107,194.000,394.667,0,2,0,22,39,0,1328.000,2.000,1292.000,2.000,21,3676,19,4120,0.000,1.000
4005.000,8,6,278,3380,34.000,97.447,563.000,648.537,913358.302,3495.630,471.429,584.470,536.833,650.221,675.800,444.169,1997.503,1600.854,261.000,503.500,2,2,0,2,13,0,0.000,0.000,1448.000,2.000,8,278,6,3380,0.008,0.992
5191.000,8,6,278,3380,34.000,97.447,563.000,648.537,704681.179,2696.976,671.000,745.589,807.500,761.083,909.800,669.705,1541.129,1263.158,261.000,503.500,2,2,0,2,13,0,0.000,0.000,1448.000,2.000,8,278,6,3380,0.005,0.995
4423.000,8,6,278,3380,34.000,97.447,563.000,648.537,827040.470,3165.272,539.857,625.845,614.667,656.021,774.000,532.658,1808.727,1459.499,261.000,503.500,2,2,0,2,13,0,0.000,0.000,1448.000,2.000,8,278,6,3380,0.007,0.993
4940.000,3,4,124,96,41.000,41.000,24.000,25.456,44534.413,1417.004,1130.429,2034.739,3565.000,0.000,1449.333,1855.479,647.668,809.717,31.000,43.686,2,0,0,3,7,0,0.000,0.000,0.000,0.000,3,124,4,96,0.003,0.997
5308.000,8,6,278,3380,34.000,97.447,563.000,648.537,689148.455,2637.528,683.643,703.390,813.667,647.744,937.800,707.176,1507.159,1219.264,261.000,503.500,2,2,0,2,13,0,0.000,0.000,1448.000,2.000,8,278,6,3380,0.006,0.994
5661.000,8,6,278,3380,34.000,97.447,563.000,648.537,646175.587,2473.061,738.071,892.618,844.167,942.742,1053.600,757.168,1413.178,1096.291,261.000,503.500,2,2,0,2,13,0,0.000,0.000,1448.000,2.000,8,278,6,3380,0.018,0.982
6019553.000,17,10,425,331,25.000,80.799,33.000,47.482,125.591,4.485,445854.519,492179.257,401264.200,478330.706,668789.889,460028.994,2.824,1.661,28.000,68.863,2,2,2,13,24,0,0.000,0.000,0.000,0.000,17,425,10,331,0.000,1.000
6017269.000,17,10,1213,331,71.000,271.129,33.000,47.482,256.595,4.487,445624.481,494852.336,401055.933,480708.108,668446.889,463590.336,2.825,1.662,57.000,211.955,2,2,2,13,24,0,1125.000,1.000,0.000,0.000,17,1213,10,331,0.000,1.000
5731.000,8,6,278,3380,34.000,97.447,563.000,648.537,638283.022,2442.855,697.000,785.689,803.500,786.529,987.400,719.568,1395.917,1129.518,261.000,503.500,2,2,0,2,13,0,0.000,0.000,1448.000,2.000,8,278,6,3380,0.006,0.994
6016271.000,17,10,1107,331,65.000,245.483,33.000,47.482,239.018,4.488,445619.815,493856.291,401057.667,479786.870,668430.000,462353.771,2.826,1.662,53.000,192.201,2,2,2,13,24,0,1019.000,1.000,0.000,0.000,17,1107,10,331,0.000,1.000
6017719.000,17,10,331,331,19.000,58.300,33.000,47.482,110.008,4.487,445687.667,494678.591,401110.400,480807.079,668545.667,462905.787,2.825,1.662,24.000,53.907,2,2,2,13,24,0,0.000,0.000,0.000,0.000,17,331,10,331,0.000,1.000
5043.000,8,6,278,3380,34.000,97.447,563.000,648.537,725361.888,2776.125,596.786,650.082,694.333,657.876,837.800,583.839,1586.357,1256.808,261.000,503.500,2,2,0,2,13,0,0.000,0.000,1448.000,2.000,8,278,6,3380,0.006,0.994
293043.000,21,19,3676,4120,175.000,391.838,216.000,404.688,26603.604,136.499,14618.525,20307.882,15388.684,20195.576,16242.000,20345.756,71.662,64.913,194.000,394.667,0,2,0,22,39,0,1328.000,2.000,1292.000,2.000,21,3676,19,4120,0.000,1.000
5738.000,8,6,278,3380,34.000,97.447,563.000,648.537,637504.357,2439.875,659.714,952.178,749.167,1012.439,948.200,819.604,1394.214,1104.769,261.000,503.500,2,2,0,2,13,0,0.000,0.000,1448.000,2.000,8,278,6,3380,0.018,0.982
4643.000,3,4,124,96,41.000,41.000,24.000,25.456,47383.157,1507.646,1003.143,1800.224,3102.000,0.000,1306.667,1661.490,714.796,861.512,31.000,43.686,2,0,0,3,7,0,0.000,0.000,0.000,0.000,3,124,4,96,0.003,0.997
6016906.000,17,10,734,331,43.000,155.305,33.000,47.482,177.001,4.487,445647.519,493097.059,401079.267,479383.064,668477.111,460878.269,2.825,1.662,39.000,123.371,2,2,2,13,24,0,0.000,0.000,0.000,0.000,17,734,10,331,0.000,1.000
307005.000,21,19,3676,4120,175.000,391.838,216.000,404.688,25393.723,130.291,15288.025,21628.369,16108.526,20250.612,16969.944,22916.183,68.403,62.149,194.000,394.667,0,2,0,22,39,0,1328.000,2.000,1292.000,2.000,21,3676,19,4120,0.000,1.000
2260.000,3,4,124,96,41.000,41.000,24.000,25.456,97345.133,3097.345,417.857,704.235,1158.000,0.000,589.000,670.350,1467.710,1769.912,31.000,43.686,2,0,0,3,7,0,0.000,0.000,0.000,0.000,3,124,4,96,0.004,0.996
283801.000,21,18,3676,4120,175.000,391.838,228.000,412.449,27469.953,137.420,14516.974,20116.798,14903.368,19993.139,16646.941,20137.660,73.996,63.541,199.000,398.444,0,2,0,22,38,0,1328.000,2.000,1292.000,2.000,21,3676,18,4120,0.000,1.000
5550.000,8,6,278,3380,34.000,97.447,563.000,648.537,659099.099,2522.523,632.071,653.591,738.167,591.664,884.000,665.391,1441.441,1138.304,261.000,503.500,2,2,0,2,13,0,0.000,0.000,1448.000,2.000,8,278,6,3380,0.005,0.995
3866.000,3,4,124,96,41.000,41.000,24.000,25.456,56906.363,1810.657,868.143,1531.557,2785.000,0.000,1097.333,1360.238,816.327,1034.661,31.000,43.686,2,0,0,3,7,0,0.000,0.000,0.000,0.000,3,124,4,96,0.003,0.997
6019409.000,18,12,892,331,49.000,172.735,27.000,45.069,203.176,4.984,401232.700,485993.530,376158.938,468423.467,547130.727,488242.286,2.990,1.994,40.000,133.852,2,2,2,14,27,0,0.000,0.000,0.000,0.000,18,892,12,331,0.000,1.000
6748.000,8,6,278,3380,34.000,97.447,563.000,648.537,542086.544,2074.689,752.143,877.234,888.333,965.392,1040.000,685.194,1185.536,952.381,261.000,503.500,2,2,0,2,13,0,0.000,0.000,1448.000,2.000,8,278,6,3380,0.005,0.995
302602.000,21,19,3676,4120,175.000,391.838,216.000,404.688,25763.214,132.187,15098.325,21257.622,15894.632,20137.270,16774.167,22301.615,69.398,62.864,194.000,394.667,0,2,0,22,39,0,1328.000,2.000,1292.000,2.000,21,3676,19,4120,0.000,1.000
4483.000,3,4,124,96,41.000,41.000,24.000,25.456,49074.281,1561.454,1040.286,1898.248,3266.000,0.000,1338.667,1750.474,716.332,892.260,31.000,43.686,2,0,0,3,7,0,0.000,0.000,0.000,0.000,3,124,4,96,0.003,0.997
5583.000,8,6,278,3380,34.000,97.447,563.000,648.537,655203.296,2507.612,694.143,785.064,785.500,756.375,1001.000,751.808,1432.921,1109.057,261.000,503.500,2,2,0,2,13,0,0.000,0.000,1448.000,2.000,8,278,6,3380,0.005,0.995
6017302.000,17,10,486,331,28.000,95.482,33.000,47.482,135.775,4.487,445675.556,493157.222,401097.533,479438.237,668530.778,460940.306,2.825,1.662,30.000,79.191,2,2,2,13,24,0,0.000,0.000,0.000,0.000,17,486,10,331,0.000,1.000
6018359.000,17,10,862,331,50.000,186.248,33.000,47.482,198.227,4.486,445740.074,494047.729,401161.667,480251.916,668617.444,462059.382,2.825,1.662,44.000,146.818,2,2,2,13,24,0,0.000,0.000,0.000,0.000,17,862,10,331,0.000,1.000
4215.000,8,6,278,3380,34.000,97.447,563.000,648.537,867852.906,3321.471,449.286,488.409,523.667,424.699,629.600,518.844,1897.983,1529.832,261.000,503.500,2,2,0,2,13,0,0.000,0.000,1448.000,2.000,8,278,6,3380,0.007,0.993
6020890.000,17,10,297,331,17.000,50.214,33.000,47.482,104.304,4.484,445959.296,494867.394,401361.400,481127.884,668942.222,462824.907,2.824,1.661,23.000,48.957,2,2,2,13,24,0,0.000,0.000,0.000,0.000,17,297,10,331,0.000,1.000
3238.000,8,6,278,3380,34.000,97.447,563.000,648.537,1129709.697,4323.657,397.929,382.849,465.833,363.630,555.200,365.406,2470.661,1990.050,261.000,503.500,2,2,0,2,13,0,0.000,0.000,1448.000,2.000,8,278,6,3380,0.010,0.990
5444.000,8,6,278,3380,34.000,97.447,563.000,648.537,671932.403,2571.639,674.714,869.229,783.167,838.396,949.400,853.916,1469.508,1170.275,261.000,503.500,2,2,0,2,13,0,0.000,0.000,1448.000,2.000,8,278,6,3380,0.004,0.996
324998.000,21,19,3676,4120,175.000,391.838,216.000,404.688,23987.840,123.078,16185.125,22919.553,17042.421,20407.748,17977.722,25222.857,64.616,58.565,194.000,394.667,0,2,0,22,39,0,1328.000,2.000,1292.000,2.000,21,3676,19,4120,0.000,1.000
6015488.000,17,10,685,331,40.000,143.471,33.000,47.482,168.897,4.488,445558.667,493772.042,400998.867,479814.461,668344.556,462078.101,2.826,1.662,37.000,114.475,2,2,2,13,24,0,0.000,0.000,0.000,0.000,17,685,10,331,0.000,1.000
4822.000,3,4,124,96,41.000,41.000,24.000,25.456,45624.222,1451.680,1058.286,1936.548,3264.000,0.000,1381.333,1809.476,694.284,829.531,31.000,43.686,2,0,0,3,7,0,0.000,0.000,0.000,0.000,3,124,4,96,0.003,0.997
